Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
468.5,70294000
469.5,64839700
470.5,52575400
471.5,22500900
472.5,6897890
473.5,0
474.5,0
475.5,0
476.5,0
477.5,0
478.5,0
479.5,0
480.5,0
481.5,0
482.5,0
483.5,0
484.5,0
485.5,0
486.5,0
487.5,3276910
488.5,32520400
489.5,52999600
490.5,65199700
491.5,51456700
492.5,53908200
493.5,46196300
494.5,42948300
495.5,20059100
496.5,4828580
497.5,0
498.5,0
499.5,0
500.5,0
501.5,0
502.5,0
503.5,0
504.5,0
505.5,0
506.5,0
507.5,0
508.5,0
509.5,0
510.5,0
511.5,546375
512.5,7300350
513.5,33454200
514.5,44706700
515.5,54912600
516.5,43756500
517.5,38511500
518.5,37314800
519.5,8863080
520.5,1185610
521.5,0
522.5,0
523.5,0
524.5,0
525.5,0
526.5,0
527.5,0
528.5,0
529.5,0
530.5,0
531.5,0
532.5,0
533.5,0
534.5,0
535.5,3563200
536.5,34507800
537.5,56102800
538.5,69317000
539.5,75799000
540.5,75664300
541.5,69651800
542.5,57500500
543.5,39605000
544.5,11501700
545.5,0
546.5,0
547.5,0
548.5,0
549.5,0
550.5,0
551.5,0
552.5,0
553.5,0
554.5,0
555.5,0
556.5,0
557.5,0
558.5,0
559.5,0
560.5,4077710
561.5,2939830
562.5,9073820
563.5,3407140
564.5,3848530
565.5,1812080
566.5,1748200
567.5,1314760
568.5,69612.7
569.5,0
570.5,0
571.5,0
572.5,0
573.5,0
574.5,0
575.5,0
576.5,0
577.5,0
578.5,0
579.5,0
580.5,0
581.5,0
582.5,0
583.5,0
584.5,1912900
585.5,1141780
586.5,308986
587.5,1400210
588.5,777068
589.5,20640400
590.5,10937900
591.5,33288400
592.5,10488800
593.5,0
594.5,0
595.5,0
596.5,0
597.5,0
598.5,0
599.5,0
600.5,0
601.5,0
602.5,0
603.5,0
604.5,0
605.5,0
606.5,0
607.5,2463390
608.5,28690700
609.5,50249000
610.5,42244800
611.5,27531200
612.5,12940900
613.5,2924800
614.5,5293380
615.5,24417700
616.5,11072800
617.5,0
618.5,0
619.5,0
620.5,0
621.5,0
622.5,0
623.5,0
624.5,0
625.5,0
626.5,0
627.5,0
628.5,0
629.5,0
630.5,0
631.5,3516680
632.5,30898900
633.5,51471400
634.5,65175800
635.5,71877500
636.5,6642540
637.5,8200810
638.5,15373300
639.5,9176620
640.5,11365100
641.5,0
642.5,0
643.5,0
644.5,0
645.5,0
646.5,0
647.5,0
648.5,0
649.5,0
650.5,0
651.5,0
652.5,0
653.5,0
654.5,0
655.5,0
656.5,747938
657.5,1410580
658.5,7068340
659.5,2926550
660.5,30634900
661.5,65173600
662.5,53030600
663.5,6960150
664.5,1567280
665.5,0
666.5,0
667.5,0
668.5,0
669.5,0
670.5,0
671.5,0
672.5,0
673.5,0
674.5,0
675.5,0
676.5,0
677.5,0
678.5,0
679.5,4652490
680.5,34672300
681.5,29718900
682.5,36503700
683.5,45850400
684.5,52933300
685.5,49786400
686.5,61179500
687.5,42273400
688.5,15868500
689.5,0
690.5,0
691.5,0
692.5,0
693.5,0
694.5,0
695.5,0
696.5,0
697.5,0
698.5,0
699.5,0
700.5,0
701.5,0
702.5,0
703.5,217464
704.5,2366740
705.5,32709500
706.5,22353600
707.5,17554600
708.5,10225700
709.5,6265660
710.5,7599420
711.5,2733860
712.5,0
713.5,0
714.5,0
715.5,0
716.5,0
717.5,0
718.5,0
719.5,0
720.5,0
721.5,0
722.5,0
723.5,0
724.5,0
725.5,0
726.5,0
727.5,5265210
728.5,35102200
729.5,55945400
730.5,69554800
731.5,76359400
732.5,76359400
733.5,71460600
734.5,60303100
735.5,41988800
736.5,16138200
737.5,0
738.5,0
739.5,0
740.5,0
741.5,0
742.5,0
743.5,0
744.5,0
745.5,0
746.5,0
747.5,0
748.5,0
749.5,0
750.5,0
751.5,953710
752.5,31770100
753.5,56855400
754.5,61178400
755.5,65617800
756.5,62069000
757.5,60799000
758.5,59118900
759.5,40446100
760.5,15236700
761.5,0
762.5,0
763.5,0
764.5,0
765.5,0
766.5,0
767.5,0
768.5,0
769.5,0
770.5,0
771.5,0
772.5,0
773.5,0
774.5,0
